Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,FOX vs. DIG,Loss (1-2),45.12,22.56,3,12,7,14,"1,007",0,0 / 0 / 0
,,FOX vs. P1,Loss (0-2),22.03,11.02,2,3,5,7,803,0,0 / 0 / 0
,,FOX vs. TSM,Loss (0-2),13.91,6.96,2,2,6,5,541,0,0 / 0 / 0
,,FOX vs. TL,Win (2-1),6.12,3.06,3,2,2,1,852,0,0 / 0 / 0
,,FOX vs. FLY,Loss (1-2),48.83,24.42,3,12,8,13,985,1,1 / 0 / 0
,,FOX vs. IMT,Loss (0-2),14.8,14.8,1,2,5,7,280,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),20.01,10.01,2,3,3,6,651,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),7.98,7.98,1,2,5,3,198,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),38.39,19.2,2,9,4,12,439,0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),6.9,6.9,1,0,2,3,340,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),4.23,4.23,1,1,2,1,173,0,0 / 0 / 0
Looper,Top,Echo Fox,,308.94,12.36,29,59,91,116,"8,965",2,0 / 0 / 0
,,FOX vs. FLY,Win (2-0),28.09,14.05,2,2,5,13,509,1,0 / 0 / 0
,,FOX vs. TL,Win (2-0),15.79,7.9,2,3,3,4,529,0,0 / 0 / 0
,,FOX vs. CLG,Loss (1-2),32.91,16.46,3,9,13,12,"1,011",0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),32.16,16.08,2,7,10,11,666,0,0 / 0 / 0
,,FOX vs. NV,Win (2-0),37.39,18.7,2,6,5,13,839,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),30.87,15.44,3,8,10,12,899,0,0 / 0 / 0
,,FOX vs. P1,Loss (0-2),15,7.5,2,3,10,5,650,0,0 / 0 / 0
,,FOX vs. TSM,Loss (0-2),20.64,10.32,2,5,2,4,564,0,0 / 0 / 0
,,FOX vs. TL,Win (2-1),9.96,4.98,3,3,4,5,863,0,0 / 0 / 0
,,FOX vs. FLY,Loss (1-2),42.1,21.05,3,5,12,22,"1,032",1,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),21.16,10.58,2,4,9,8,566,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),19.8,9.9,2,3,3,6,630,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),3.07,3.07,1,1,5,1,207,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),0,0,0,0,0,0,0,0,0 / 0 / 0
Mash,AD Carry,Echo Fox,,87.86,8.79,11,15,25,34,"2,881",0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),13.19,13.19,1,2,3,5,319,0,0 / 0 / 0
,,FOX vs. NV,Loss (1-2),2.84,2.84,1,0,4,1,334,0,0 / 0 / 0
,,FOX vs. CLG,Loss (0-2),6.97,6.97,1,2,4,2,197,0,0 / 0 / 0
,,FOX vs. TSM,Loss (1-2),11.82,5.91,3,2,6,9,677,0,0 / 0 / 0
,,FOX vs. P1,Win (2-0),36.85,18.43,2,5,2,14,685,0,0 / 0 / 0
,,FOX vs. DIG,Loss (1-2),3.5,3.5,1,0,1,1,250,0,0 / 0 / 0
,,FOX vs. IMT,Loss (0-2),5.78,5.78,1,2,3,1,178,0,0 / 0 / 0
,,FOX vs. C9,Loss (0-2),6.91,6.91,1,2,2,1,241,0,0 / 0 / 0
Balls,Top,FlyQuest,,446.06,12.39,44,101,145,200,"12,645",4,0 / 0 / 0
,,FLY vs. FOX,Loss (0-2),25.88,12.94,2,6,4,6,688,0,0 / 0 / 0
,,FLY vs. DIG,Loss (0-2),13.49,6.75,2,1,9,7,549,0,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),34.49,17.25,3,9,8,13,900,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),37.96,18.98,2,7,3,14,446,0,0 / 0 / 0
,,FLY vs. CLG,Loss (1-2),33.42,16.71,3,6,15,30,840,2,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),12.03,6.02,2,2,8,5,453,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),18.92,9.46,2,8,9,2,442,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),22.01,11.01,3,4,14,9,921,0,0 / 0 / 0
,,FLY vs. DIG,Win (2-1),17.9,8.95,3,8,3,13,924,1,0 / 0 / 0
,,FLY vs. FOX,Win (2-1),32.75,16.38,3,7,8,18,940,0,0 / 0 / 0
,,FLY vs. CLG,Loss (0-2),14.19,7.1,2,4,9,3,619,0,0 / 0 / 0
,,FLY vs. TL,Win (2-0),49.07,24.54,2,8,11,20,657,1,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),17.98,8.99,3,7,11,6,885,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),19.01,9.51,3,6,10,13,"1,039",0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),12.64,6.32,2,2,7,5,464,0,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),18.7,9.35,2,4,5,6,420,0,0 / 0 / 0
,,FLY vs. TL,Win (2-1),28.86,14.43,3,4,8,19,882,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),36.76,18.38,2,8,3,11,576,0,0 / 0 / 0
bigfatlp,Mid,FlyQuest,,0,0,0,0,0,0,0,0,0 / 0 / 0
Hai,Mid,FlyQuest,,519.32,14.43,44,134,145,204,"13,764",5,3/2/0000
,,FLY vs. FOX,Loss (0-2),20.22,10.11,2,5,7,6,472,0,0 / 0 / 0
,,FLY vs. DIG,Loss (0-2),27.14,13.57,2,8,5,5,614,0,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),45.73,22.87,3,12,10,17,926,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),38.73,19.37,2,8,4,13,523,0,0 / 0 / 0
,,FLY vs. CLG,Loss (1-2),47.8,23.9,3,17,15,26,"1,132",2,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),13.93,6.97,2,1,10,8,493,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),17.79,8.9,2,3,8,7,529,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),13.64,6.82,3,7,15,6,886,0,0 / 0 / 0
,,FLY vs. DIG,Win (2-1),23.27,11.64,3,10,5,20,978,1,1 / 0 / 0
,,FLY vs. FOX,Win (2-1),36.94,18.47,3,11,12,18,983,1,0 / 0 / 0
,,FLY vs. CLG,Loss (0-2),19.28,9.64,2,3,9,7,728,0,0 / 0 / 0
,,FLY vs. TL,Win (2-0),60.58,30.29,2,14,3,13,758,1,0 / 1 / 0
,,FLY vs. IMT,Loss (1-2),24.82,12.41,3,5,10,12,868,0,1 / 0 / 0
,,FLY vs. NV,Loss (1-2),32.22,16.11,3,9,6,9,"1,140",0,0 / 1 / 0
,,FLY vs. TSM,Loss (0-2),12.92,6.46,2,1,7,6,542,0,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),13.19,6.6,2,4,10,4,419,0,0 / 0 / 0
,,FLY vs. TL,Win (2-1),34.56,17.28,3,12,8,12,"1,117",0,1 / 0 / 0
,,FLY vs. P1,Win (2-0),36.56,18.28,2,4,1,15,656,0,0 / 0 / 0
LemonNation,Support,FlyQuest,,392.09,10.89,44,29,147,304,"1,734",14,0 / 0 / 0
,,FLY vs. FOX,Loss (0-2),25.2,12.6,2,2,8,15,70,1,0 / 0 / 0
,,FLY vs. DIG,Loss (0-2),20.51,10.26,2,3,5,11,51,0,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),28.65,14.33,3,4,10,21,83,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),30.03,15.02,2,1,3,18,53,1,0 / 0 / 0
,,FLY vs. CLG,Loss (1-2),31.21,15.61,3,7,17,25,124,2,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),6.51,3.26,2,1,10,6,51,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),8.02,4.01,2,1,5,5,102,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),11.04,5.52,3,1,8,7,197,0,0 / 0 / 0
,,FLY vs. DIG,Win (2-1),21.77,10.89,3,1,5,26,192,2,0 / 0 / 0
,,FLY vs. FOX,Win (2-1),36.02,18.01,3,0,8,33,207,1,0 / 0 / 0
,,FLY vs. CLG,Loss (0-2),9.72,4.86,2,0,7,8,122,0,0 / 0 / 0
,,FLY vs. TL,Win (2-0),48.28,24.14,2,2,2,27,78,2,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),20.4,10.2,3,1,11,19,66,1,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),20.47,10.24,3,0,9,22,75,1,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),10.67,5.34,2,1,8,8,67,0,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),3.43,1.72,2,1,13,5,43,0,0 / 0 / 0
,,FLY vs. TL,Win (2-1),33.72,16.86,3,3,16,30,109,3,0 / 0 / 0
,,FLY vs. P1,Win (2-0),26.44,13.22,2,0,2,18,44,0,0 / 0 / 0
Moon,Jungler,FlyQuest,,439.78,12.22,44,93,146,239,"6,780",8,0 / 0 / 0
,,FLY vs. FOX,Loss (0-2),28,14,2,4,7,12,350,1,0 / 0 / 0
,,FLY vs. DIG,Loss (0-2),19.49,9.75,2,3,6,9,299,0,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),32.1,16.05,3,7,6,17,570,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),36.89,18.45,2,6,4,16,289,0,0 / 0 / 0
,,FLY vs. CLG,Loss (1-2),31.48,15.74,3,8,14,32,404,2,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),19.29,9.65,2,8,6,2,329,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),16.45,8.23,2,4,9,7,245,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),18.77,9.39,3,4,11,11,476,0,0 / 0 / 0
,,FLY vs. DIG,Win (2-1),23.73,11.87,3,10,6,17,399,1,0 / 0 / 0
,,FLY vs. FOX,Win (2-1),29.26,14.63,3,3,13,24,446,1,0 / 0 / 0
,,FLY vs. CLG,Loss (0-2),14.35,7.18,2,4,9,5,335,0,0 / 0 / 0
,,FLY vs. TL,Win (2-0),34.95,17.48,2,2,7,19,395,1,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),22.42,11.21,3,4,8,16,418,1,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),16.9,8.45,3,6,11,9,474,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),19.64,9.82,2,7,7,4,314,0,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),12.18,6.09,2,3,7,5,218,0,0 / 0 / 0
,,FLY vs. TL,Win (2-1),26.68,13.34,3,8,14,15,499,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),37.2,18.6,2,2,1,19,320,1,0 / 0 / 0
Remilia,Support,FlyQuest,,0,0,0,0,0,0,0,0,0 / 0 / 0
WildTurtle,AD Carry,FlyQuest,,505.83,14.05,44,139,123,179,"14,636",4,2 / 0 / 0
,,FLY vs. FOX,Loss (0-2),39.29,19.65,2,7,6,13,679,1,0 / 0 / 0
,,FLY vs. DIG,Loss (0-2),26.42,13.21,2,5,10,9,592,0,1 / 0 / 0
,,FLY vs. IMT,Loss (1-2),34.07,17.04,3,11,12,16,858,0,0 / 0 / 0
,,FLY vs. P1,Win (2-0),34.92,17.46,2,8,2,10,492,0,0 / 0 / 0
,,FLY vs. CLG,Loss (1-2),39.87,19.94,3,13,12,18,"1,129",1,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),13.6,6.8,2,2,5,4,610,0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),14.74,7.37,2,1,6,7,524,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),20.85,10.43,3,6,7,2,"1,166",0,0 / 0 / 0
,,FLY vs. DIG,Win (2-1),30.05,15.03,3,13,6,18,"1,049",0,0 / 0 / 0
,,FLY vs. FOX,Win (2-1),57.05,28.53,3,22,4,15,"1,176",1,0 / 0 / 0
,,FLY vs. CLG,Loss (0-2),12.23,6.12,2,2,5,2,773,0,0 / 0 / 0
,,FLY vs. TL,Win (2-0),47.04,23.52,2,8,4,15,854,1,0 / 0 / 0
,,FLY vs. IMT,Loss (1-2),22.97,11.49,3,7,7,9,875,0,0 / 0 / 0
,,FLY vs. NV,Loss (1-2),19.34,9.67,3,5,9,12,"1,139",0,0 / 0 / 0
,,FLY vs. TSM,Loss (0-2),18.08,9.04,2,3,5,6,558,0,0 / 0 / 0
,,FLY vs. C9,Loss (0-2),13.48,6.74,2,4,10,4,448,0,0 / 0 / 0
,,FLY vs. TL,Win (2-1),32.89,16.45,3,15,10,12,"1,120",0,1 / 0 / 0
,,FLY vs. P1,Win (2-0),28.94,14.47,2,7,3,7,594,0,0 / 0 / 0
Broxah,Jungler,Fnatic,,763.58,34.71,25,73,23,220,"4,163",7,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),44.84,22.42,2,7,2,18,284,1,0 / 0 / 0
,,FNC vs. NIP,Win (2-0),49.43,24.72,2,4,2,25,293,1,0 / 0 / 0
,,FNC vs. G2,Win (2-1),45.12,22.56,3,4,3,16,493,0,0 / 0 / 0
,,FNC vs. ROC,Loss (1-2),116.78,58.39,3,11,6,26,593,1,0 / 0 / 0
,,FNC vs. H2K,Win (2-0),39.84,19.92,2,8,0,14,284,0,0 / 0 / 0
,,FNC vs. MM,Win (2-0),56.15,28.08,2,10,2,21,365,1,0 / 0 / 0
,,FNC vs. SPY,Win (2-0),59.82,29.91,2,5,1,11,391,0,0 / 0 / 0
,,FNC vs. VIT,Win (2-0),83.4,41.7,2,6,1,18,320,0,0 / 0 / 0
,,FNC vs. UOL,Win (2-1),106.86,53.43,3,13,3,30,473,1,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),55.56,27.78,2,4,2,12,278,0,0 / 0 / 0
,,FNC vs. ROC,Win (2-0),105.78,52.89,2,1,1,29,389,2,0 / 0 / 0
Caps,Mid,Fnatic,,856.63,38.94,25,124,49,174,"8,113",8,4 / 0 / 0
,,FNC vs. MSF,Win (2-0),54.57,27.29,2,11,1,17,557,1,0 / 0 / 0
,,FNC vs. NIP,Win (2-0),56.91,28.46,2,18,2,8,791,1,0 / 0 / 0
,,FNC vs. G2,Win (2-1),63.04,31.52,3,10,5,15,925,0,0 / 0 / 0
,,FNC vs. ROC,Loss (1-2),114.78,57.39,3,11,6,22,"1,065",1,0 / 0 / 0
,,FNC vs. H2K,Win (2-0),37.79,18.9,2,10,3,9,579,0,0 / 0 / 0
,,FNC vs. MM,Win (2-0),65.04,32.52,2,14,7,18,754,2,1 / 0 / 0
,,FNC vs. SPY,Win (2-0),88.78,44.39,2,10,4,12,839,0,0 / 0 / 0
,,FNC vs. VIT,Win (2-0),104.14,52.07,2,15,5,10,557,0,2 / 0 / 0
,,FNC vs. UOL,Win (2-1),95.68,47.84,3,13,10,28,801,2,1 / 0 / 0
,,FNC vs. MSF,Win (2-0),60.58,30.29,2,4,2,12,529,0,0 / 0 / 0
,,FNC vs. ROC,Win (2-0),115.32,57.66,2,8,4,23,716,1,0 / 0 / 0
Jesiz,Support,Fnatic,,664.4,30.2,25,16,55,277,976,16,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),43.03,21.52,2,2,2,25,53,1,0 / 0 / 0
,,FNC vs. NIP,Win (2-0),40.04,20.02,2,0,7,27,104,1,0 / 0 / 0
,,FNC vs. G2,Win (2-1),46.6,23.3,3,2,5,24,100,2,0 / 0 / 0
,,FNC vs. ROC,Loss (1-2),78.62,39.31,3,3,7,25,96,1,0 / 0 / 0
,,FNC vs. H2K,Win (2-0),35.8,17.9,2,1,1,21,80,1,0 / 0 / 0
,,FNC vs. MM,Win (2-0),49.17,24.59,2,3,7,28,67,2,0 / 0 / 0
,,FNC vs. SPY,Win (2-0),63.08,31.54,2,1,4,19,104,1,0 / 0 / 0
,,FNC vs. VIT,Win (2-0),73.96,36.98,2,0,2,22,98,2,0 / 0 / 0
,,FNC vs. UOL,Win (2-1),97.08,48.54,3,3,10,42,123,3,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),35.78,17.89,2,0,2,12,89,0,0 / 0 / 0
,,FNC vs. ROC,Win (2-0),101.24,50.62,2,1,8,32,62,2,0 / 0 / 0
Klaj,Support,Fnatic,,0,0,0,0,0,0,0,0,0 / 0 / 0
Rekkles,AD Carry,Fnatic,,887.71,40.35,25,143,22,135,"9,409",6,8 / 0 / 0
,,FNC vs. MSF,Win (2-0),49.24,24.62,2,11,0,11,674,0,2 / 0 / 0
,,FNC vs. NIP,Win (2-0),55.2,27.6,2,10,3,17,720,1,1 / 0 / 0
,,FNC vs. G2,Win (2-1),75.24,37.62,3,17,2,9,"1,097",0,0 / 0 / 0
,,FNC vs. ROC,Loss (1-2),111.2,55.6,3,17,2,11,"1,300",1,0 / 0 / 0
,,FNC vs. H2K,Win (2-0),44.32,22.16,2,10,0,12,632,0,0 / 0 / 0
,,FNC vs. MM,Win (2-0),55.21,27.61,2,11,1,17,821,0,0 / 0 / 0
,,FNC vs. SPY,Win (2-0),73.96,36.98,2,9,1,6,848,0,1 / 0 / 0
,,FNC vs. VIT,Win (2-0),92.2,46.1,2,9,1,14,760,0,0 / 0 / 0
,,FNC vs. UOL,Win (2-1),117.26,58.63,3,15,6,28,"1,063",2,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),56.04,28.02,2,8,2,2,602,0,2 / 0 / 0
,,FNC vs. ROC,Win (2-0),157.84,78.92,2,26,4,8,892,2,2 / 0 / 0
sOAZ,Top,Fnatic,,789.59,35.89,25,59,56,233,"7,226",12,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),48.93,24.47,2,6,4,20,493,2,0 / 0 / 0
,,FNC vs. NIP,Win (2-0),55.4,27.7,2,9,5,21,640,1,0 / 0 / 0
,,FNC vs. G2,Win (2-1),43,21.5,3,3,7,15,845,0,0 / 0 / 0
,,FNC vs. ROC,Loss (1-2),107.08,53.54,3,10,8,24,950,1,0 / 0 / 0
,,FNC vs. H2K,Win (2-0),32.03,16.02,2,0,3,18,453,1,0 / 0 / 0
,,FNC vs. MM,Win (2-0),61.49,30.75,2,7,7,27,649,2,0 / 0 / 0
,,FNC vs. SPY,Win (2-0),77.9,38.95,2,3,4,18,595,1,0 / 0 / 0
,,FNC vs. VIT,Win (2-0),93.18,46.59,2,3,3,23,559,1,0 / 0 / 0
,,FNC vs. UOL,Win (2-1),122.18,61.09,3,11,7,34,772,2,0 / 0 / 0
,,FNC vs. MSF,Win (2-0),66.06,33.03,2,5,1,12,553,0,0 / 0 / 0
,,FNC vs. ROC,Win (2-0),82.34,41.17,2,2,7,21,717,1,0 / 0 / 0
Special,Mid,Fnatic,,0,0,0,0,0,0,0,0,0 / 0 / 0
Xyraz,Top,Fnatic,,0,0,0,0,0,0,0,0,0 / 0 / 0
Expect,Top,G2 Esports,,585.14,29.26,25,63,57,145,"7,258",5,2 / 0 / 0
,,G2 vs. FNC,Loss (1-2),29.12,14.56,3,8,9,11,972,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),38.07,19.04,2,1,5,19,807,1,0 / 0 / 0
,,G2 vs. MSF,Loss (1-2),40.08,20.04,3,3,8,10,829,0,0 / 0 / 0
,,G2 vs. UOL,Loss (1-2),67.16,33.58,3,11,10,7,628,0,1 / 0 / 0
,,G2 vs. MM,Win (2-0),98.9,49.45,2,6,6,20,645,2,0 / 0 / 0
,,G2 vs. SPY,Win (2-0),100.36,50.18,2,7,3,20,568,1,0 / 0 / 0
,,G2 vs. H2K,Win (2-1),23.69,11.85,3,9,4,15,918,0,0 / 0 / 0
,,G2 vs. VIT,Win (2-1),28.78,14.39,3,3,5,16,842,1,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),100.76,50.38,2,12,1,13,538,0,1 / 0 / 0
,,G2 vs. MSF,Win (2-0),58.22,29.11,2,3,6,14,511,0,0 / 0 / 0
Loulex,Jungler,G2 Esports,,47.96,23.98,3,11,5,12,673,0,0 / 1 / 0
,,G2 vs. ROC,Win (2-1),47.96,23.98,3,11,5,12,673,0,0 / 1 / 0
mithy,Support,G2 Esports,,538.2,24.46,28,8,43,222,"1,043",14,0 / 0 / 0
,,G2 vs. ROC,Win (2-1),42.14,21.07,3,0,5,24,85,2,0 / 0 / 0
,,G2 vs. FNC,Loss (1-2),27.1,13.55,3,0,2,18,83,1,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),30.94,15.47,2,0,3,20,44,1,0 / 0 / 0
,,G2 vs. MSF,Loss (1-2),29.76,14.88,3,0,7,16,106,0,0 / 0 / 0
,,G2 vs. UOL,Loss (1-2),44.06,22.03,3,2,4,11,99,1,0 / 0 / 0
,,G2 vs. MM,Win (2-0),89.64,44.82,2,1,2,26,82,2,0 / 0 / 0
,,G2 vs. SPY,Win (2-0),85.08,42.54,2,3,3,22,104,2,0 / 0 / 0
,,G2 vs. H2K,Win (2-1),7.95,3.98,3,0,10,19,151,1,0 / 0 / 0
,,G2 vs. VIT,Win (2-1),21.47,10.74,3,0,3,19,136,1,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),92.98,46.49,2,0,1,28,99,2,0 / 0 / 0
,,G2 vs. MSF,Win (2-0),67.08,33.54,2,2,3,19,54,1,0 / 0 / 0
Perkz,Mid,G2 Esports,,632.25,31.61,25,87,51,125,"7,505",5,0 / 0 / 0
,,G2 vs. ROC,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,G2 vs. FNC,Loss (1-2),30.45,15.23,3,10,8,7,915,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),34.74,17.37,2,5,6,12,774,1,0 / 0 / 0
,,G2 vs. MSF,Loss (1-2),50.26,25.13,3,6,7,11,823,0,0 / 0 / 0
,,G2 vs. UOL,Loss (1-2),64.84,32.42,3,5,6,12,741,1,0 / 0 / 0
,,G2 vs. MM,Win (2-0),104.3,52.15,2,10,3,17,615,1,0 / 0 / 0
,,G2 vs. SPY,Win (2-0),124.54,62.27,2,16,1,15,627,1,0 / 0 / 0
,,G2 vs. H2K,Win (2-1),24.59,12.3,3,9,5,15,951,0,0 / 0 / 0
,,G2 vs. VIT,Win (2-1),20.43,10.22,3,6,7,9,"1,004",0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),108.34,54.17,2,11,3,18,467,1,0 / 0 / 0
,,G2 vs. MSF,Win (2-0),69.76,34.88,2,9,5,9,588,0,0 / 0 / 0
Send0o,Top,G2 Esports,,55.82,27.91,3,4,4,22,947,0,0 / 0 / 0
,,G2 vs. ROC,Win (2-1),55.82,27.91,3,4,4,22,947,0,0 / 0 / 0
Trick,Jungler,G2 Esports,,556.84,27.84,25,48,49,162,"3,945",8,1 / 0 / 0
,,G2 vs. FNC,Loss (1-2),22.14,11.07,3,2,10,15,450,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),30.97,15.49,2,2,3,15,397,1,0 / 0 / 0
,,G2 vs. MSF,Loss (1-2),41.3,20.65,3,8,8,6,480,0,0 / 0 / 0
,,G2 vs. UOL,Loss (1-2),70.16,35.08,3,6,4,13,404,1,0 / 0 / 0
,,G2 vs. MM,Win (2-0),93.1,46.55,2,8,3,18,305,1,0 / 0 / 0
,,G2 vs. SPY,Win (2-0),87.48,43.74,2,3,2,21,324,2,0 / 0 / 0
,,G2 vs. H2K,Win (2-1),15.42,7.71,3,2,12,22,429,1,0 / 0 / 0
,,G2 vs. VIT,Win (2-1),19.65,9.83,3,6,3,15,475,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),94.74,47.37,2,7,2,18,337,1,1 / 0 / 0
,,G2 vs. MSF,Win (2-0),81.88,40.94,2,4,2,19,344,1,0 / 0 / 0
Zven,AD Carry,G2 Esports,,642.33,29.2,28,100,40,115,"9,146",1,3/2/0001
,,G2 vs. ROC,Win (2-1),74.76,37.38,3,11,3,17,"1,196",0,0 / 0 / 0
,,G2 vs. FNC,Loss (1-2),26.37,13.19,3,2,7,11,934,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),70.85,35.43,2,18,3,6,835,1,1/1/0001
,,G2 vs. MSF,Loss (1-2),38.18,19.09,3,6,5,7,991,0,0 / 0 / 0
,,G2 vs. UOL,Loss (1-2),51.66,25.83,3,5,5,7,776,0,1 / 0 / 0
,,G2 vs. MM,Win (2-0),96.56,48.28,2,12,1,9,628,0,0 / 1 / 0
,,G2 vs. SPY,Win (2-0),77.52,38.76,2,8,2,12,576,0,0 / 0 / 0
,,G2 vs. H2K,Win (2-1),25.23,12.62,3,12,6,12,"1,002",0,1 / 0 / 0
,,G2 vs. VIT,Win (2-1),22.02,11.01,3,10,6,10,949,0,0 / 0 / 0
,,G2 vs. NIP,Win (2-0),76.46,38.23,2,7,2,13,573,0,0 / 0 / 0
,,G2 vs. MSF,Win (2-0),82.72,41.36,2,9,0,11,686,0,0 / 0 / 0
Chei,Support,H2K,,680.5,30.93,24,27,45,246,995,14,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),46.33,23.17,2,5,2,23,83,1,0 / 0 / 0
,,H2K vs. MM,Win (2-0),39.52,19.76,2,5,3,19,52,1,0 / 0 / 0
,,H2K vs. UOL,Loss (1-2),53.14,26.57,3,3,12,29,88,1,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),94.88,47.44,2,0,2,29,94,2,0 / 0 / 0
,,H2K vs. FNC,Loss (0-2),3.82,1.91,2,1,6,3,32,0,0 / 0 / 0
,,H2K vs. NIP,Win (2-0),60.01,30.01,2,2,3,35,101,2,0 / 0 / 0
,,H2K vs. MSF,Win (2-0),72.96,36.48,2,0,7,23,148,2,0 / 0 / 0
,,H2K vs. ROC,Win (2-0),70.16,35.08,2,2,0,19,58,1,0 / 0 / 0
,,H2K vs. G2,Loss (1-2),94.14,47.07,3,7,6,24,162,1,0 / 0 / 0
,,H2K vs. SPY,Win (2-0),88.44,44.22,2,1,4,26,122,2,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),57.1,28.55,2,1,0,16,55,1,0 / 0 / 0
Febiven,Mid,H2K,,747.6,33.98,24,99,43,144,"7,238",3,2 / 0 / 0
,,H2K vs. SPY,Win (2-0),47,23.5,2,10,1,14,650,0,0 / 0 / 0
,,H2K vs. MM,Win (2-0),42.23,21.12,2,8,4,15,573,0,0 / 0 / 0
,,H2K vs. UOL,Loss (1-2),59.48,29.74,3,12,11,12,845,0,0 / 0 / 0
,,H2K vs. VIT,Win (2-0),82.46,41.23,2,9,3,13,523,0,0 / 0 / 0
,,H2K vs. FNC,Loss (0-2),13.91,6.96,2,4,5,2,541,0,0 / 0 / 0
,,H2K vs. NIP,Win (2-0),57.2,28.6,2,9,3,21,720,1,0 / 0 / 0
,,H2K vs. MSF,Win (2-0),80.22,40.11,2,7,6,14,811,0,0 / 0 / 0
