Name,Role,Team,Results,Total Points,Avg Points Per Game,Game Played,Kill(+2),D(-0.5),A(+1.5),CS(+0.01),10+K/A(+2),"3K(+2),4K(+5),5k(+10)"
,,C9 vs. IMT,Loss (1-2),41.39,20.7,3,7,11,23,879,1,0 / 0 / 0
,,C9 vs. P1,Win (2-1),0,0,0,0,0,0,0,0,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),0,0,0,0,0,0,0,0,0 / 0 / 0
Smoothie,Support,Cloud9,,575.12,15.98,45,39,96,451,"1,048",21,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),37.9,18.95,3,3,8,31,55,1,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),17.91,8.96,2,2,6,11,41,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),28.95,14.48,2,1,1,18,45,0,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),38.6,19.3,2,3,6,22,60,1,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),31.67,15.84,3,6,13,24,116,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),55.6,27.8,2,1,4,34,60,2,0 / 0 / 0
,,C9 vs. TL,Win (2-0),36.18,18.09,2,0,2,23,68,1,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),14.09,7.05,3,2,5,27,71,1,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),24.55,12.28,3,3,7,30,67,2,0 / 0 / 0
,,C9 vs. CLG,Loss (1-2),22.13,11.07,3,3,6,16,80,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),11.45,5.73,2,0,5,9,45,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),42.87,21.44,3,8,8,31,58,2,0 / 0 / 0
,,C9 vs. P1,Win (2-1),34.78,17.39,3,1,7,42,70,2,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),36.42,18.21,3,1,3,40,52,2,0 / 0 / 0
,,C9 vs. TL,Win (2-1),22.75,11.38,3,4,5,19,33,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),44.47,22.24,2,0,4,28,47,2,0 / 0 / 0
,,C9 vs. NV,Win (2-0),42.86,21.43,2,1,5,26,36,2,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),31.94,15.97,2,0,1,20,44,1,0 / 0 / 0
Sneaky,AD Carry,Cloud9,,659.76,18.33,45,146,88,296,"13,581",10,3/1/0000
,,C9 vs. CLG,Loss (1-2),43.95,21.98,3,9,12,24,"1,225",0,0 / 0 / 0
,,C9 vs. TSM,Loss (0-2),29.64,14.82,2,4,3,10,814,0,0 / 0 / 0
,,C9 vs. P1,Win (2-0),35.36,17.68,2,5,1,12,586,0,1 / 0 / 0
,,C9 vs. FOX,Win (2-0),55.15,27.58,2,14,3,12,865,1,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),38.61,19.31,3,6,6,28,"1,117",2,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),45.65,22.83,2,8,2,17,515,0,0 / 0 / 0
,,C9 vs. TL,Win (2-0),34.11,17.06,2,7,2,10,611,0,0 / 0 / 0
,,C9 vs. DIG,Win (2-1),24.22,12.11,3,13,3,14,813,0,0 / 0 / 0
,,C9 vs. TSM,Win (2-1),38.49,19.25,3,12,4,16,884,0,0 / 1 / 0
,,C9 vs. CLG,Loss (1-2),27.49,13.75,3,6,11,13,862,0,0 / 0 / 0
,,C9 vs. NV,Loss (0-2),17.21,8.61,2,3,6,5,671,0,0 / 0 / 0
,,C9 vs. IMT,Loss (1-2),40.03,20.02,3,8,13,23,918,1,0 / 0 / 0
,,C9 vs. P1,Win (2-1),39.18,19.59,3,17,6,27,709,1,2 / 0 / 0
,,C9 vs. DIG,Win (2-1),36.18,18.09,3,13,7,20,751,1,0 / 0 / 0
,,C9 vs. TL,Win (2-1),24.11,12.06,3,0,3,18,752,1,0 / 0 / 0
,,C9 vs. FLY,Win (2-0),44.16,22.08,2,6,4,18,516,1,0 / 0 / 0
,,C9 vs. NV,Win (2-0),49.74,24.87,2,5,2,21,524,2,0 / 0 / 0
,,C9 vs. FOX,Win (2-0),36.48,18.24,2,10,0,8,448,0,0 / 0 / 0
Westrice,Top,Cloud9,,0,0,0,0,0,0,0,0,0 / 0 / 0
Winter,Support,Cloud9,,0,0,0,0,0,0,0,0,0 / 0 / 0
aphromoo,Support,Counter Logic Gaming,,506.07,14.06,46,30,137,418,"1,074",23,0 / 0 / 0
,,CLG vs. C9,Win (2-1),30.9,15.45,3,1,8,33,69,2,0 / 0 / 0
,,CLG vs. TL,Win (2-0),30.32,15.16,2,2,2,18,32,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-1),21.12,10.56,3,3,12,26,92,1,0 / 0 / 0
,,CLG vs. TSM,Loss (1-2),19.24,9.62,3,2,14,25,91,1,0 / 0 / 0
,,CLG vs. FLY,Win (2-1),28.73,14.37,3,4,17,30,99,2,0 / 0 / 0
,,CLG vs. P1,Win (2-1),31.44,15.72,3,3,8,27,111,2,0 / 0 / 0
,,CLG vs. IMT,Loss (0-2),3.73,1.87,2,0,9,5,73,0,0 / 0 / 0
,,CLG vs. NV,Win (2-1),17.51,8.76,3,0,4,26,87,2,0 / 0 / 0
,,CLG vs. C9,Win (2-1),21.34,10.67,3,0,8,23,58,1,0 / 0 / 0
,,CLG vs. TL,Win (2-0),35.93,17.97,2,0,3,22,43,2,0 / 0 / 0
,,CLG vs. FLY,Win (2-0),47.5,23.75,2,2,3,27,50,2,0 / 0 / 0
,,CLG vs. DIG,Loss (0-2),11.58,5.79,2,0,8,10,58,0,0 / 0 / 0
,,CLG vs. FOX,Win (2-0),33.84,16.92,2,4,4,17,34,1,0 / 0 / 0
,,CLG vs. IMT,Loss (1-2),50.24,25.12,3,2,13,39,43,2,0 / 0 / 0
,,CLG vs. NV,Win (2-0),37.79,18.9,2,3,4,21,29,1,0 / 0 / 0
,,CLG vs. P1,Loss (1-2),25.25,12.63,3,0,5,21,39,1,0 / 0 / 0
,,CLG vs. DIG,Win (2-1),24.25,12.13,3,2,7,26,30,2,0 / 0 / 0
,,CLG vs. TSM,Loss (0-2),35.36,17.68,2,2,8,22,36,1,0 / 0 / 0
